,AYB,Discretise,Frequency
1661,1900.0,Old,2382
1662,1923.0,Old,2382
1663,1906.0,Old,2382
1664,1906.0,Old,2382
1665,1906.0,Old,2382
1666,1909.0,Old,2382
1667,1907.0,Old,2382
1668,1910.0,Old,2382
1669,1895.0,Old,2382
1670,1895.0,Old,2382
1671,1895.0,Old,2382
1672,1908.0,Old,2382
1673,1909.0,Old,2382
1674,1926.0,Old,2382
1675,1909.0,Old,2382
1676,1910.0,Old,2382
1677,1926.0,Old,2382
1678,1909.0,Old,2382
1679,1909.0,Old,2382
1680,1925.0,Old,2382
1681,1925.0,Old,2382
1682,1925.0,Old,2382
1683,1895.0,Old,2382
1684,1905.0,Old,2382
1685,1909.0,Old,2382
1686,1923.0,Old,2382
1687,1906.0,Old,2382
1688,1909.0,Old,2382
1689,1909.0,Old,2382
1690,1925.0,Old,2382
1691,1906.0,Old,2382
1692,1909.0,Old,2382
1693,1895.0,Old,2382
1694,1912.0,Old,2382
1695,1911.0,Old,2382
1696,1911.0,Old,2382
1697,1909.0,Old,2382
1698,1935.0,Old,2382
1699,0.0,Very Old,10
1700,1910.0,Old,2382
1701,1928.0,Old,2382
1702,1917.0,Old,2382
1703,1925.0,Old,2382
1704,1922.0,Old,2382
1705,1911.0,Old,2382
1706,1925.0,Old,2382
1707,1927.0,Old,2382
1708,1926.0,Old,2382
1709,1915.0,Old,2382
1710,1915.0,Old,2382
1711,1950.0,Old,2382
1712,1941.0,Old,2382
1713,1923.0,Old,2382
1714,1916.0,Old,2382
1715,1925.0,Old,2382
1716,1925.0,Old,2382
1717,1934.0,Old,2382
1718,1939.0,Old,2382
1719,1937.0,Old,2382
1720,1936.0,Old,2382
1721,1933.0,Old,2382
1722,1931.0,Old,2382
1723,1936.0,Old,2382
1724,1936.0,Old,2382
1725,1952.0,New,433
1726,1937.0,Old,2382
1727,1949.0,Old,2382
1728,1932.0,Old,2382
1729,1933.0,Old,2382
1730,1949.0,Old,2382
1731,1937.0,Old,2382
1732,1931.0,Old,2382
1733,1931.0,Old,2382
1734,1925.0,Old,2382
1735,1925.0,Old,2382
1736,1925.0,Old,2382
1737,1935.0,Old,2382
1738,1948.0,Old,2382
1739,1948.0,Old,2382
1740,1927.0,Old,2382
1741,1922.0,Old,2382
1742,1917.0,Old,2382
1743,1925.0,Old,2382
1744,1923.0,Old,2382
