"BATHRM","HEAT_D","AC","NUM_UNITS","ROOMS","BEDRM","AYB","YR_RMDL","SALEDATE","PRICE","QUALIFIED","STYLE","STRUCT","GRADE_D","CNDTN_D","EXTWALL_D","ROOF","INTWALL_D","KITCHENS","FIREPLACES","LANDAREA","GIS_LAST_MOD_DTTM"
1,"Warm Cool","Y",1,6,3,1975,2004,"2014-06-18T00:00:00.000Z",1050000,"Q",4,7,"Average","Good","Stucco",6,"Hardwood",1,0,1631,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",2,8,6,1912,2013,"2017-08-01T00:00:00.000Z",1877000,"Q",7,6,"Good Quality","Good","Common Brick",6,"Hardwood",2,2,2150,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,6,4,1885,2004,"2012-07-24T00:00:00.000Z",1185000,"Q",7,7,"Good Quality","Very Good","Common Brick",1,"Hardwood",2,2,1156,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,7,3,1874,2003,"2003-09-22T00:00:00.000Z",750000,"Q",4,7,"Good Quality","Good","Common Brick",2,"Hardwood",1,1,1830,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,3,1900,1979,"2009-03-25T00:00:00.000Z",0,"U",4,7,"Good Quality","Good","Common Brick",6,"Wood Floor",1,1,1552,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,6,3,1910,2011,"2010-10-26T00:00:00.000Z",416000,"U",4,7,"Above Average","Average","Common Brick",2,"Hardwood",1,1,1057,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",2,10,5,1910,2002,"2010-05-20T00:00:00.000Z",725000,"Q",4,6,"Good Quality","Good","Common Brick",2,"Hardwood",2,0,1061,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",2,6,3,1900,2006,"2017-07-12T00:00:00.000Z",1092000,"Q",4,6,"Above Average","Very Good","Common Brick",6,"Hardwood",2,1,1566,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,9,4,1905,,"2004-05-27T00:00:00.000Z",603000,"Q",6,7,"Very Good","Average","Common Brick",2,"Hardwood",2,0,1290,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,6,3,1890,2011,"2010-11-15T00:00:00.000Z",370000,"Q",4,7,"Above Average","Good","Common Brick",2,"Hardwood",1,0,1650,"2018-07-22T18:01:43.000Z"
0,"Hot Water Rad","N",1,0,0,1900,,"2015-08-24T00:00:00.000Z",11000000,"U",4,6,"Average","Poor","Metal Siding",2,"Hardwood",1,0,817,"2018-07-22T18:01:43.000Z"
1,"Forced Air","N",1,7,3,1900,,"1999-10-07T00:00:00.000Z",0,"U",4,7,"Average","Average","Common Brick",6,"Wood Floor",1,0,1008,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",2,10,6,1911,2006,"2007-10-18T00:00:00.000Z",458220,"Q",7,7,"Good Quality","Good","Common Brick",2,"Hardwood",2,0,1710,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,10,4,1910,1991,"1998-07-06T00:00:00.000Z",0,"U",4,7,"Above Average","Good","Common Brick",6,"Hardwood",2,2,1992,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,15,4,1890,2003,"1900-01-01T00:00:00.000Z",0,"U",7,7,"Above Average","Good","Common Brick",6,"Hardwood",1,1,1696,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",1,13,5,1920,1980,"2017-05-02T00:00:00.000Z",0,"U",7,7,"Above Average","Average","Common Brick",2,"Hardwood",1,0,2000,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,8,3,1900,2003,"2007-10-31T00:00:00.000Z",781000,"Q",4,7,"Above Average","Good","Common Brick",2,"Wood Floor",1,1,2000,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,6,3,1900,2005,"2000-06-06T00:00:00.000Z",254900,"Q",4,7,"Above Average","Good","Common Brick",6,"Carpet",1,1,2000,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",2,8,2,1900,1985,"1900-01-01T00:00:00.000Z",0,"U",4,7,"Average","Average","Common Brick",6,"Hardwood",2,1,1890,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,8,3,1900,2001,"2015-12-09T00:00:00.000Z",780000,"Q",4,2,"Average","Good","Common Brick",6,"Hardwood",2,1,1613,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,7,4,1900,2014,"2014-02-24T00:00:00.000Z",860000,"Q",4,7,"Above Average","Very Good","Common Brick",2,"Hardwood/Carp",1,0,876,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,6,3,1905,1993,"1900-01-01T00:00:00.000Z",,"U",4,6,"Average","Average","Common Brick",6,"Hardwood",1,0,698,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,10,3,2009,,"2009-11-18T00:00:00.000Z",781425,"Q",7,7,"Very Good","Excellent","Common Brick",13,"Hardwood/Carp",1,0,622,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",2,7,3,1890,1984,"2005-04-06T00:00:00.000Z",0,"U",7,7,"Good Quality","Good","Common Brick",6,"Hardwood",2,3,2058,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,5,2,1890,1975,"1900-01-01T00:00:00.000Z",,"U",7,7,"Average","Good","Common Brick",6,"Wood Floor",1,1,1250,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1895,,"1900-01-01T00:00:00.000Z",,"U",4,7,"Good Quality","Average","Common Brick",2,"Hardwood",1,0,669,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,5,3,1924,,"1900-01-01T00:00:00.000Z",0,"U",4,7,"Above Average","Good","Common Brick",6,"Hardwood",1,0,1122,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",2,8,3,1912,2007,"1999-10-08T00:00:00.000Z",0,"U",4,7,"Average","Average","Common Brick",6,"Hardwood/Carp",1,0,975,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,12,5,1908,1976,"2010-11-08T00:00:00.000Z",0,"U",7,7,"Very Good","Average","Common Brick",6,"Wood Floor",2,0,1300,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",2,6,3,1908,,"1900-01-01T00:00:00.000Z",,"U",4,6,"Good Quality","Average","Common Brick",6,"Hardwood",2,1,1275,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,5,3,1890,1988,"2000-06-13T00:00:00.000Z",168000,"U",4,7,"Average","Average","Common Brick",6,"Hardwood",1,0,552,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,10,5,1894,2001,"2003-10-14T00:00:00.000Z",630000,"Q",4,6,"Good Quality","Good","Common Brick",2,"Hardwood",2,1,719,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",2,6,3,1972,,"1900-01-01T00:00:00.000Z",,"U",7,2,"Above Average","Average","Common Brick",2,"Hardwood",2,2,1327,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",2,9,3,1972,2004,"2013-08-08T00:00:00.000Z",990000,"Q",7,2,"Above Average","Good","Common Brick",2,"Hardwood",2,2,1327,"2018-07-22T18:01:43.000Z"
